,TEXT
39,"bride of the fire bride of the fire, clasp me now close, - bride of the fire! i have shed the bloom of the earthly rose, i have slain desire."
40,"beauty of the light, surround my life, - beauty of the light! i have sacrificed longing and parted from grief, i can bear thy delight."
41,"image of ecstasy, thrill and enlace, - image of bliss! i would see only thy marvellous face, feel only thy kiss."
42,"voice of infinity, sound in my heart, - call of the one! stamp there thy radiance, never to part, o living sun."
43,a god's labour
44,"i have gathered my dreams in a silver air between the gold and the blue and wrapped them softly and left them there, my jewelled dreams of you."
45,i had hoped to build a rainbow bridge marrying the soil to the sky and sow in this dancing planet midge the moods of infinity.
46,"but too bright were our heavens, too far away, too frail their ethereal stuff; too splendid and sudden our light could not stay; the roots were not deep enough."
47,he who would bring the heavens here must descend himself into clay and the burden of earthly nature bear and tread the dolorous way.
48,"coercing my godhead i have come down here on the sordid earth, ignorant, labouring, human grown twixt the gates of death and birth."
49,"i have been digging deep and long mid a horror of filth and mire a bed for the golden river’s song, a home for the deathless fire."
50,i have laboured and suffered in matter’s night to bring the fire to man; but the hate of hell and human spite are my meed since the world began. 
51,musa spiritus
52," o word concealed in the upper fire, thou who hast lingered through centuries, descend from thy rapt white desire, plunging through gold eternities."
53,"into the gulfs of our nature leap, voice of the spaces, call of the light! break the seals of matter's sleep, break the trance of the unseen height."
54,"in the uncertain glow of human mind, its waste of unharmonied thronging thoughts, carve thy epic mountain-lined crowded with deep prophetic grots."
55,let thy hue-winged lyrics hover like birds over the swirl of the heart's sea. touch into sight with thy fire-words the blind indwelling deity.
56,"o muse of the silence, the wideness make in the unplumbed stillness that hears thy voice, in the vast mute heavens of the spirit awake where thy eagles of power flame and rejoice."
57,"out, out with the mind and its candles flares, light, light the suns that never die. for my ear the cry of the seraph stars and the forms of the gods for my naked eye!"
58,"let the little troubled life-god within cast his veils from the still soul, his tiger-stripes of virtue and sin, his clamour and glamour and thole and dole;"
59,invitation
60, with wind and the weather beating round me      up to the hill and the moorland i go. who will come with me? who will climb with me? wade through the brook and tramp through the snow?
61,not in the petty circle of cities cramped by your doors and your walls i dwell; over me god is blue in the welkin         against me the wind and the storm rebel.
62,"i sport with solitude here in my regions,                of misadventure have me a friend. who would live largely?who would live freely?                  here to the wind-swept uplands ascend."
63,"i am the lord of tempest and mountain,           i am the spirit of freedom and pride. stark must he be and a kinsman to danger     who shares my kingdom and walks at my side"
64,the miracle of birth
65,"i saw my soul a traveller through time;      from life to life the cosmic ways it trod,  obscure in the depths and on the heights sublime,      evolving from the worm into the god. "
66,"a spark of the eternal fire, it came      to build a house in matter for the unborn.  the inconscient sunless night received the flame,      in the brute seed of things dumb and forlorn "
67,"life stirred and thought outlined a gleaming shape      till on the stark inanimate earth could move,  born to somnambulist nature in her sleep      a thinking creature who can hope and love. "
68,"still by slow steps the miracle goes on,  the immortal's gradual birth mid mire and stone. "
69,because thou art
70,"because thou art all-beauty and all-bliss,      my soul blind and enamoured yearns for thee;  it bears thy mystic touch in all that is      and thrills with the burden of that ecstasy. "
71,behind all eyes i meet thy secret gaze      and in each voice i hear thy magic tune:  thy sweetness haunts my heart through nature's ways      nowhere it beats now from thy snare immune. 
72,it loves thy body in all living things;      thy joy is there in every leaf and stone:  the moments bring thee on their fiery wings;      sight's endless artistry is thou alone. 
73,time voyages with thee upon its prow   and all the futures passionate hope is thou
74,the inner fields
75," there is a brighter ether than this blue pretence of an enveloping heavenly vault, royaler investiture than this massed assault of emerald rapture pearled with tears of dew. immortal spaces of cerulean hue are in our reach and fields without this fault of drab brown earth and streams that never halt in their deep murmur which white flowers strew"
76,floating like stars upon a strip of sky. this world behind is made of truer stuff than the manufactured tissue of earth's grace. there we can walk and see the gods go by and sip from hebe's cup nectar enough to make for us heavenly limbs and deathless face.
77,the golden light
78,"thy golden light came down into my brain and the grey rooms of mind sun-touched became a bright reply to wisdom's occult plane, a calm illumination and a flame."
79,"thy golden light came down into my throat, and all my speech is now a tune divine, a paean-song of thee my single note; my words are drunk with the immortal's wine."
80,thy golden light came down into my heart smiting my life with thy eternity; now has it grown a temple where thou art and all its passions point towards only thee.
81,"thy golden light came down into my feet, my earth is now thy playfield and thy seat."
82,evolution (revised)
83,i passed into a lucent still abode and saw as in a mirror crystalline an ancient force ascending serpentine the unhasting spirals of the aeonic road.
84,earth was a cradle for the arriving god and man but a half-dark half-luminous sign of the transition of the veiled divine from matter's sleep and the tormented load
85,"of ignorant life and death to the spirit's light. mind liberated swam light's ocean vast, and life escaped from its grey tortured line;"
86,i saw matter illumining its parent night. the soul could feel into infinity cast timeless god-bliss the heart incarnadine.
87,bande mataram
88,"mother, i bow to thee! rich with thy hurrying streams, bright with thy orchard gleams, cool with thy winds of delight, dark fields waving, mother of might, mother free."
89,"glory of moonlight dreams over thy branches and lordly streams, clad in thy blossoming trees, mother, giver of ease, laughing low and sweet! mother, i kiss thy feet, speaker sweet and low! mother, to thee i bow."
90,"who hath said thou art weak in thy lands, when the swords flash out in twice seventy million hands and seventy millions voices roar thy dreadful name from shore to shore? with many strengths who art mighty and stored, to thee i call, mother and lord! thou who savest, arise and save! to her i cry who ever her foemen drave back from plain and sea and shook herself free."
91,"thou art wisdom, thou art law, thou our heart, our soul, our breath, thou the love divine, the awe in our hearts that conquers death. thine the strength that nerves the arm, thine the beauty, thine the charm. every image made divine in our temples is but thine."
92,"thou art durga, lady and queen, with her hands that strike and her swords of sheen, thou art lakshmi lotus-throned, pure and perfect without peer, mother, lend thine ear. rich with thy hurrying streams, bright with thy orchard gleams, dark of hue, o candid-fair"
93," in thy soul, with jewelled hair and thy glorious smile divine, loveliest of all earthly lands, showering wealth from well-stored hands! mother, mother mine! mother sweet, i bow to thee, mother great and free."
94,the word of the silence
95," a bare impersonal hush is now my mind, a world of sight clear and inimitable, a volume of silence by a godhead signed, a greatness pure, virgin of will."
96,"once on its pages ignorance could write in a scribble of intellect the blind guess of time and cast gleam-messages of ephemeral light, a food for souls that wander on nature's rim."
97,but now i listen to a greater word born from the mute unseen omniscient ray: the voice that only silence' ear has heard leaps missioned from an eternal glory of day.
98,all turns from a wideness and unbroken peace to a tumult of joy in a sea of wide release.
99,the universal incarnation
100,"there is a wisdom like a brooding sun, a bliss in the heart's crypt grown fiery white, the heart of a world in which all hearts are one, a silence on the mountains of delight."
101,"a calm that cradles fate upon its knees; a wide compassion leans to embrace earth's pain; a witness dwells within our secrecies, the incarnate godhead in the body of man."
102,"our mind is a glimmering curtain of that ray, our strength a parody of the immortal's power, our joy a dreamer on the eternal's way hunting the fugitive beauty of an hour."
103,"only on the heart's veiled door the word of flame is written, the secret and tremendous name."
104,the witness spirit
105,"i dwell in the spirit's calm nothing can move and watch the actions of thy vast world-force, its mighty wings that through infinity move and the time-gallopings of the deathless horse."
106,"this mute stupendous energy that whirls the stars and nebulae in its long train, like a huge serpent through my being curls with its diamond hood of joy and fangs of pain."
107,"it rises from the dim inconscient deep upcoiling through the minds and hearts of men, then touches on some height of luminous sleep the bliss and splendour of the eternal plane."
108,"all this i bear in me, untouched and still assenting to thy all-wise inscrutable will."
109,nirvana
110,"all is abolished but the mute alone. the mind from thought released, the heart from grief, grow inexistent now beyond belief; there is no i, no nature, known-unknown. the city, a shadow picture without tone, floats, quivers unreal; forms without relief flow, a cinema's vacant shapes; like a reef foundering in shoreless gulfs the world is done."
111,"only the illimitable permanent is here. a peace stupendous, featureless, still. replaces all, - what once was i, in it  a silent unnamed emptiness content either to fade in the unknowable or thrill with the luminous seas of the infinite."
112,the call of the impossible
113,"our godhead calls us in unrealised things. asleep in the wide fields of destiny, a world guarded by silence' rustling wings sheltered their fine impossibility."
114,"but part, but quiver the cerulean gates, close splendours look into our dreaming eyes; we bear proud deities and magnificent fates; faces and hands come near from paradise."
115,"what shone thus far above is here in us; bliss unattained our future's birthright is; beauty of our dim soul is amorous, we are the heirs of infinite widenesses."
116,"the impossible is the hint of what shall be, mortal the door to immortality."
117,the dreamboat
118,"who was it that came to me in a boat made of dream-fire, with his flame brow and his sun-gold body? melted was the silence into a sweet secret murmur, ""do you come now? is the heart's fire ready?"""
119,"hidden in the recesses of the heart something shuddered, it recalled all that the life's joy cherished, imaged the felicity it must leave lost forever, and the boat passed and the gold god vanished."
120,"now within the hollowness of the world's breast inhabits -  for the love died and the old joy ended -  void of a felicity that has fled, gone for ever, and the gold god and the dream boat come not."
121,cosmic consciousness
122,"i have wrapped the wide world in my wider self and time and space my spirit's seeing are. i am the god and demon, ghost and elf, i am the wind's speed and the blazing star."
123,"all nature is the nursling of my care, i am its struggle and the eternal rest; the world's joy thrilling runs through me, i bear the sorrow of millions in my lonely breast."
124,"i have learned a close identity with all, yet am by nothing bound that i become; carrying in me the universe's call i mount to my imperishable home."
125,"i pass beyond time and life on measureless wings, yet still am one with born and unborn things."
126,the kingdom within
127,"there is a kingdom of the spirit's ease.         it is not in this helpless swirl of thought,         foam from the world-sea or spray-whisper caught, with which we build mind's shifting symmetries, nor in life's stuff of passionate unease,         nor the heart's unsure emotions frailty wrought         nor trivial clipped sense-joys soon brought to nought nor in this body's solid transiences."
128,"wider behind than the vast universe         our spirit scans the drama and the stir, a peace, a light, an ecstasy, a power waiting at the end of blindness and the curse         that veils it from its ignorant minister, the grandeur of its free eternal hour."
129,life and death
130,"life, death, - death, life; the words have led for ages our thought and consciousness and firmly seemed two opposites; but now long-hidden pages are opened, liberating truths undreamed. life only is, or death is life disguised, - life a short death until by life we are surprised."
131,bride of the fire
132," bride of the fire, clasp me now close, -  bride of the fire! i have shed the bloom of the earthly rose, i have slain desire."
133,"beauty of the light, surround my life, -  beauty of the light! i have sacrificed longing and parted from grief, i can bear thy delight."
134,"image of ecstasy, thrill and enlace, -  image of bliss! i would see only thy marvellous face, feel only thy kiss."
135,"voice of infinity, sound in my heart, -  call of the one! stamp there thy radiance, never to part, o living sun."
136,ocean oneness
137,"silence is round me, wideness ineffable; white birds on the ocean diving and wandering; a soundless sea on a voiceless heaven, azure on azure, is mutely gazing."
138,"identified with silence and boundlessness my spirit widens clasping the universe till all that seemed becomes the real, one in a mighty and single vastness."
139,"someone broods there nameless and bodiless, conscious and lonely, deathless and infinite, and, sole in a still eternal rapture, gathers all things to his heart for ever."
140,i have a hundred lives
141,"i have a hundred lives before me yet to grasp thee in, o spirit ethereal, be sure i will with heart insatiate pursue thee like a hunter through them all."
142,"thou yet shalt turn back on the eternal way and with awakened vision watch me come smiling a little at errors past and lay  thy eager hand in mine, its proper home."
143,"meanwhile made happy by thy happiness i shall approach thee in things and people dear,  and in thy spirit's motions half-possess, loving what thou hast loved, shall feel thee near,"
144,"until i lay my hands on thee indeed somewhere among the stars, as 'twas decreed."
145,the unseen infinite
146,"arisen to voiceless unattainable peaks i meet no end, for all is boundless he, an absolute joy the wide-winged spirit seeks, a might, a presence, an eternity."
147,"in the inconscient dreadful dumb abyss are heard the heart-beats of the infinite. the insensible midnight veils his trance of bliss, a fathomless sealed astonishment of light."
148,"in his ray that dazzles our vision everywhere, our half-closed eyes seek fragments of the one: only the eyes of immortality dare to look unblinded on that living sun."
149,"yet are our souls the immortal's selves within, comrades and powers and children of the unseen."
150,life
151,"mystic miracle, daughter of delight,  life, thou ecstasy, let the radius of thy flight be eternity."
152,"on thy wings thou bearest high glory and disdain, godhead and mortality, ecstasy and pain."
153,"take me in thy wild embrace  without weak reserve body dire and unveiled face; faint not, life, nor swerve."
154,"all thy bliss i would explore, all thy tyranny. cruel like the lion's roar, sweet like springtide be."
155,"like a titan i would take, like a god enjoy, like a man contend and make, revel like a boy."
156,"more i will not ask of thee, nor my fate would choose; king or conquered let me be, live or lose."
157,"even in rags i am a god; fallen, i am divine; high i triumph when down-trod, long i live when slain."
158,god
159,"thou who pervadest all the worlds below, yet sitst above, master of all who work and rule and know, servant of love!"
160,"thou who disdainest not the worm to be  nor even the clod, therefore we know by that humility that thou art god."
161,liberation
162,"i have thrown from me the whirling dance of mind and stand now in the spirit's silence free, timeless and deathless beyond creature-kind, the centre of my own eternity."
163,"i have escaped and the small self is dead; i am immortal, alone, ineffable; i have gone out from the universe i made, and have grown nameless and immeasurable."
164,"my mind is hushed in a wide and endless light, my heart a solitude of delight and peace, my sense unsnared by touch and sound and sight, my body a point in white infinities."
165,"i am the one being's sole immobile bliss: no one i am, i who am all that is."
166,soul in the ignorance
167," soul in the ignorance, wake from its stupor. flake of the world-fire, spark of divinity, lift up thy mind and thy heart into glory. sun in the darkness, recover thy lustre."
168,"one, universal, ensphering creation, wheeling no more with inconscient nature, feel thyself god-born, know thyself deathless. timeless return to thy immortal existence."
169,the godhead
170,"i sat behind the dance of danger's hooves in the shouting street that seemed a futurist's whim, and suddenly felt, exceeding nature's grooves, in me, enveloping me the body of him."
171," above my head a mighty head was seen, a face with the calm of immortality and an omnipotent gaze that held the scene in the vast circle of its sovereignty."
172," his hair was mingled with the sun and breeze ; the world was in his heart and he was i: i housed in me the everlasting's peace, the strength of one whose substance cannot die."
173,the moment passed and all was as before; only that deathless memory i bore.
174,transformation: sonnet
175,my breath runs in a subtle rhythmic stream; it fills my members with a might divine: i have drunk the infinite like a giant’s wine. time is my drama or my pageant dream. now are my illumined cells joy’s flaming scheme and changed my thrilled and branching nerves to fine channels of rapture opal and hyaline for the influx of the unknown and the supreme.
176,"i am no more a vassal of flesh, a slave to nature and her leaden rule; i am caught no more in the senses’ narrow mesh. my soul unhorizoned widens to measureless sight, my body is god’s happy living tool, my spirit a vast sun of deathless light."
177,to weep because
178,"to weep because a glorious sun has set which the next morn shall gild the east again; to mourn that mighty strengths must yield to fate which by that force a double strength attain; to shrink from pain without whose friendly strife joy could not be, to make a terror of death who smiling beckons us to farther life, and is a bridge for the persistent breath; despair and anguish and the tragic grief  of dry set eyes, or such disastrous tears as rend the heart, though meant for its relief,  and all man's ghastly company of fears are born of folly that believes the span of life the limit of immortal man."
179,kamadeva
180,"when in the heart of the valleys and hid by the roses the sweet love lies, has he wings to rise to his heavens or in the closes lives and dies?"
181,"on the peaks of the radiant mountains if we should meet him proud and free, will he not frown on the valleys? would it befit him chained to be?"
182,"will you then speak of the one as a slave and a wanton, the other too bare? but god is the only slave and the only monarch we declare."
183,it is god who is love and a boy and a slave for our passion he was made to serve; it is god who is free and proud and the limitless tyrant our souls deserve.
184,the guest - sonnet
185,"i have discovered my deep deathless being: masked by my front of mind, immense, serene it meets the world with an immortal's seeing, a god-spectator of the human scene."
186,"no pain and sorrow of the heart and flesh can tread that pure and voiceless sanctuary. danger and fear, fate's hounds, slipping their leash rend body and nerve, - the timeless spirit is free."
187,"awake, god's ray and witness in my breast, in the undying substance of my soul flamelike, inscrutable the almighty guest. death nearer comes and destiny takes her toll;"
188,"he hears the blows that shatter nature's house: calm sits he, formidable, luminous."
189,"oh lord, what shall i say to you?"
190,by anandamurti (prabhat ranjan sarkar)
191,english version by gunther smith
192," oh lord, what shall i say to you? you have broken my dark slumber, and now i shall move on the path of light. i shall move, i shall move, i shall move."
193,"my flower, which was long neglected, you have threaded in your garland. the offerings of my mind, which were soiled with dust, you have taken onto your lap."
194,"i exchange all i had, for i have received you. to you alone i will listen. i will listen, i will listen, i will listen."
195,"oh unknown traveler, you come alone"
196,by anandamurti (prabhat ranjan sarkar)
197,english version by gunther smith
198," oh unknown traveler, you come alone. at the end of night when the jasmine flower fell. seeing my door closed, you stood by the wayside. my eyes half closed in sleep, some things i could see, and some things i could not. then you went away at dawn, wet with the mist at the end of night, floating in the infinite void. the jasmine creeper at my door still carries the message of your arrival. removing its drops of dew, it remains awake, ever waiting for you. if at that time, i had opened my door, and whispered a word in your ear that autumn midnight, i would have floated aloft, and mingled myself in your melody."
199,"on the path of the journey to effulgence,"
200,by anandamurti (prabhat ranjan sarkar)
201,english version by gunther smith
202," on the path of the journey to effulgence, all are invited today, hence, i call. the earth, swinging in the great universal swing, has become beautiful. today, there is no discrimination. come all together, forgetting rivalry, let us all jointly announce that we are one and will remain one. all hearts are threaded in the same garland of gems. let us all sing the song in the same tune. there is no high or low, black or white. all are brothers in the world. pain or earnestness of one, is pain or earnestness of all. all hearts oscillate in the same swing, within the ocean of nectar, singing one song. full of love, arousing hope, speaking in the same tone?look ahead. extending love to both friend and foe, singing the song of pardon, let us go forward."
203,the violin of all human minds
204,by anandamurti (prabhat ranjan sarkar)
205,english version by gunther smith
206," the violin of all human minds is playing with one harmony today, and so is the scent of every heart. with your sweet appearance, you have descended on the earth, giving the same realization. do not break this garland of flowers, which is the entire wealth of my love. come closer and still closer and closer; and take away my everything."
207,"at dusk, at dawn i gaze upon your beauty"
208,by darshan singh
209,english version by barry lerner and harbans singh bedi original language urdu
210,"at dusk, at dawn i gaze upon your beauty -- a dazzling spectacle of rising moon and sun."
211,"so far, the wayfarers have not discovered your footprints: they stand staring at the stepstone of your door"
212,your glance of abundant grace did not satisfy; we with the seeing eye know a glance from a glance.
213,"saqi, they've just arrived and taken their seats; how is it that they've already gained intimacy?"
214,some you inspire with the madness of prostration: they cannot tell their heads from your door.
215,"saqi, whoever comes by even a tinge of awakening we see sitting in your assembly, oblivious to this world."
216,men who are maddened by the thought of the goal see not fellow travelers -- they are intent on the road.
217,"master, in what strange state your darshan lives: we always see his eyes moist with tears."
218,how did i ever think silence the language of love?
219,by darshan singh
220,english version by barry lerner and harbans singh bedi original language urdu
221,how did i ever think silence the language of love? what i thought would not come to light was in plain sight.
222,i hear my silence talked of in every lane; the suppression of a cry is itself a cry of pain.
223,the beloved's regard was but a flash of light; how innocent to think i'd found eternal bliss.
224,"these, too, in the end were the gardener's: the lightning and the wind and that handful of pitiful straws i'd called my nest."
225,"darshan, the glances i'd fancied voiced my love -- even they couldn't convey the unplumbed depths of my longing."
226,how should i tell of the feeling that reigns
227,by darshan singh
228,english version by barry lerner and harbans singh bedi original language urdu
229,"how should i tell of the feeling that reigns in the court of the friend? dancing light is my beloved's face, cup and carafe are ecstatic!"
230,every nook and cranny is effulgent with his light; every mote and grain celebrates the beloved's face.
231,"on earth from end to end i see his beauty, in heaven after heaven i gaze upon my friend."
232,"seeker banished from the beatific vision, look through the eyes of your heart! how can you see the beloved's light with eyes of flesh and blood?"
233,"man's sorrows i bore, this world i loved -- my whole life i gave to the work of my friend."
234,"brushing past me, it stirred my heart and was gone: god! the morning breeze has learned to tease from my friend."
235,"let them try to imprison him in temple, mosque and church! the seeing eye finds the beloved's signs in every mote."
236,very near your heart are seekers of your vision; those who look at the surface are exiled from the beloved's light.
237,"what can i say of the grace he showers on me within? darshan, the moment i close my eyes, the beloved's light begins."
238, in what state was i
239,by darshan singh
240,english version by barry lerner and harbans singh bedi original language urdu
241,"who knows, in what state was i when i met her eyes? where, who was i? completely lost."
242,"for you that sun and that moon are gaudy snares: beware, lest caught, your gaze rise no higher."
243,my love -- the paradise at my journey's end -- is annoyed. why does every path seem so lonesome?
244,"impetuous tipplers, have regard for the goblets and cups! as you journey through the world of hearts, step gently."
245,"my madness knows why, nightlong, desperate with sorrow, i rush about with tearful eyes, embracing shadows."
246,"i follow no guide, no creed -- just an inkling of the way: a tug at my heart leads me forward."
247,"friends, we must not let the darkness enshroud us again! so many kissed the gallows before we saw this dawn."
248,"when beauty herself provokes a look, therein lies the thrill: were she not so expectant, what would compel my eyes?"
249,"darshan, life is the confluence of reality and dream: in this union lies the exaltation of a human being. "
250,wonder of wonders!
251,by darshan singh
252,english version by barry lerner and harbans singh bedi original language urdu
253,wonder of wonders! what grace flows within the saqi's tavern! the secrets of both worlds are an open book in his cup.
254,"why do you seek in the temple? what will you find in the ka'aba? open your inner eye, look in the idol house of your heart."
255,"friends, by morning you'll find nothing here but ashes: my heart also burns, with the same sorrow as the moth."
256,"the wine of truth the saqi keeps concealed in his eyes, whatever he pours in the cup deceives thirst."
257,who is aware of this wonder? without instruments resounds a symphony in the chamber of the heart!
258,"saqi, is slaying my desire your kind of mercy? i hear endless ecstasy reigns in your tavern."
259,"in moments of quietude, i often begin to wonder: is a musician playing a melody within my joyful heart?"
260,"in all your life, darshan, nowhere will you find a joy to rival the rapture of master's tavern. "
261,"ah, come sit beside me"
262,by jiddu krishnamurti
263," ah, come sit beside me by the sea, open and free. i will tell thee of that inward calmness as of the still deep; of that inward freedom as of the skies; of that inward happiness as of the dancing waters."
264,"and as now the moon makes a silent path on the dark sea, so beside me lies the clear path of pure understanding. the groaning sorrow is hid under a mocking smile, the heart is heavy with the burden of corruptible love, the deceptions of the mind pervert thought."
265,"ah, come sit beside me open and free. as the even flow of clear sunlight, so shall thine understanding come to thee. the burdensome fear of anxious waiting shall go from thee as the waters recede before the rushing winds."
266,"ah, come sit beside me, thou shalt know of the understanding of true love. as the mind drives the blind clouds, so shall thy brutish prejudice be driven by clear thought."
267,the moon is in love with the sun and the stars fill the skies with their laughter.
268,"oh, come sit beside me open and free. "
269,i am all
270,by jiddu krishnamurti
271," i am the blue firmament and the black cloud, i am the waterfall and the sound thereof, i am the graven image and the stone by the wayside, i am the rose and the falling petals thereof, i am the flower of the field and the sacred lotus, i am the sanctified waters and the still pool, i am the tree that towereth among the mountains and the blade of grass in the peaceful lane, i am the tender spring leaf and the evergreen foliage."
272,"i am the barbarian and the sage, i am the impious and the pious, i am the ungodly and the godly, i am the harlot and the virgin, i am the liberated and the man of time, i am the the indestructible and the destructible, i am the renunciation and the proud possessor. i am all few know me."
273,"i am neither this nor that, i am neither detached nor attached, i am neither heaven nor hell -- few know me -- i am neither philosophies nor creeds, i am neither the guru nor the disciple. o friend, i contain all."
274,"i am clear as the mountain stream, simple as the new spring leaf."
275,happy are they that meet with me. 
276,i walked on a path through the jungle
277,by jiddu krishnamurti
278," i walked on a path through the jungle which an elephant had made, and about me lay a tangle of wilderness. the voice of desolation fills the distant plain. and the city is noisy with the bells of a tall temple. beyond the jungle are the great mountains, calm and clear."
279,in the fear of life the temptation of sorrow is created.
280,"cut down the jungle -- not one mere tree, for truth is attained by putting aside all that you have sown."
281,and now i walk with the elephant.
282,i have been a wanderer long (from the search)
283,by jiddu krishnamurti
284," i have been a wanderer long in this world of transient things. i have known the passing pleasures thereof. as the rainbow is beautiful but soon vanishes into nothingness, so have i known, from the very foundation of the world, the passing away of all things beautiful, joyous and pleasurable."
285,"as the moon is full and serene, in the day of harvest so am i in the day of my liberation simple as the tender leaf am i for in me are many winters and many springs. as the dew drop is of the sea, so am i born in the ocean of my liberation"
286,"as the mysterious river enters the open seas, so have i entered into the world of liberation this is the end i have known."
287,i have no name (from the song of life)
288,by jiddu krishnamurti
289," i have no name, i am as the fresh breeze of the mountains. i have no shelter; i am as the wandering waters. i have no sanctuary, like the dark gods; nor am i in the shadow of deep temples. i have no sacred books; nor am i well-seasoned in tradition. i am not in the incense mounting on the high altars, nor in the pomp of ceremonies. i am neither in the graven image, nor in the rich chant of a melodious voice. i am not bound by theories, nor corrupted by beliefs. i am not held in the bondage of religions, nor in the pious agony of their priests. i am not entrapped by philosophies, nor held in the power of their sects. i am neither low nor high, i am the worshipper and the worshipped. i am free. my song is the song of the river calling for the open seas, wandering, wandering, i am life. i have no name, i am as the fresh breeze of the mountains. "
290,winter
291,"it smelt of new rains and of tender shoots of plants- and its warmth was the warmth of earth groping for roots… even my soul, i thought, must send its roots somewhere and, i loved his body without shame, on winter evenings as cold winds chuckled against the white window-panes."
292,words
