,TEXT
83,can equal these diviner ecstasies.
84,a mind beyond our mind has sole the ken
85,"of those yet unimagined harmonies,"
86,the fate and privilege of unborn men.
87,"as rain-thrashed mire the marvel of the rose,"
88,earth waits that distant marvel to disclose.
89,"o thou of whom i am the instrument,"
90,"o secret spirit and nature housed in me,"
91,let all my mortal being now be blent
92,in thy still glory of divinity.
93,"i have given my mind to be dug thy channel mind,"
94,i have offered up my will to be thy will :
95,let nothing of myself be left behind
96,in our union mystic and unutterable.
97,my heart shall throb with the world-beats of thy 1ove;
98,my body become thy engine for earth-use;
99,in my nerves and veins thy rapture's streams shall move ;
100,my thoughts shall be hounds of light for thy power to loose.
101,keep only my soul to adore eternally
102,and meet thee in each form and soul of thee.
103,           at last i find a meaning of soul's birth
104,"           into this universe terrible and sweet,"
105,     i who have felt the hungry heart of earth
106,         aspiring beyond heaven to krishna's feet.
107,"     i have seen the beauty of immortal eyes,"
108,"        and heard the passion of the lover's flute,"
109,     and known a deathless ecstasy's surprise
110,       and sorrow in my heart for ever mute.
111,"    nearer apd nearer now the music draws,"
112,         life shudders with a strange felicity;
113,    all nature is a wide enamoured pause
114,"        hoping her lord to touch, to clasp, to be."
115,    for this one moment lived the ages past;
116,   the world now throbs fulfilled in me at last
117,the blue bird
118,i am the bird of god in his blue;
119,divinely high and clear
120,i sing the notes of the sweet and the true
121,for the god's and the seraph's ear.
122,i rise like a fire from the mortal's earth
123,into a griefless sky
124,and drop in the suffering soil of his birth
125,fire-seeds of ecstasy.
126,my pinions soar beyond time and space
127,into unfading light;
128,i bring the bliss of the eternal's face
129,and the boon of the spirit's sight.
130,i measure the worlds with my ruby eyes;
131,i have perched on wisdom's tree
132,thronged with the blossoms of paradise
133,by the streams of eternity.
134,nothing is hid from my burning heart;
135,my mind is shoreless and still;
136,"my song is rapture's mystic art,"
137,my flight immortal will.
138,bride of the fire
139,"bride of the fire, clasp me now close, -"
140,bride of the fire!
141,"i have shed the bloom of the earthly rose,"
142,i have slain desire.
143,"beauty of the light, surround my life, -"
144,beauty of the light!
145,"i have sacrificed longing and parted from grief,"
146,i can bear thy delight.
147,"image of ecstasy, thrill and enlace, -"
148,image of bliss!
149,"i would see only thy marvellous face,"
150,feel only thy kiss.
151,"voice of infinity, sound in my heart, -"
152,call of the one!
153,"stamp there thy radiance, never to part,"
154,o living sun.
155,a god's labour
156,i have gathered my dreams in a silver air
157,between the gold and the blue
158,"and wrapped them softly and left them there,"
159,my jewelled dreams of you.
160,i had hoped to build a rainbow bridge
161,marrying the soil to the sky
162,and sow in this dancing planet midge
163,the moods of infinity.
164,"but too bright were our heavens, too far away,"
165,too frail their ethereal stuff;
166,too splendid and sudden our light could not stay;
167,the roots were not deep enough.
168,he who would bring the heavens here
169,must descend himself into clay
170,and the burden of earthly nature bear
171,and tread the dolorous way.
172,coercing my godhead i have come down
173,"here on the sordid earth,"
174,"ignorant, labouring, human grown"
175,twixt the gates of death and birth.
176,i have been digging deep and long
177,mid a horror of filth and mire
178,"a bed for the golden river’s song,"
179,a home for the deathless fire.
180,i have laboured and suffered in matter’s night
181,to bring the fire to man;
182,but the hate of hell and human spite
183,are my meed since the world began.
184,"o word concealed in the upper fire,"
185,"thou who hast lingered through centuries,"
186,"descend from thy rapt white desire,"
187,plunging through gold eternities.
188,"into the gulfs of our nature leap,"
189,"voice of the spaces, call of the light!"
190,"break the seals of matter's sleep,"
191,break the trance of the unseen height.
192,"in the uncertain glow of human mind,"
193,"its waste of unharmonied thronging thoughts,"
194,carve thy epic mountain-lined
195,crowded with deep prophetic grots.
196,let thy hue-winged lyrics hover like birds
197,over the swirl of the heart's sea.
198,touch into sight with thy fire-words
199,the blind indwelling deity.
200,"o muse of the silence, the wideness make"
201,"in the unplumbed stillness that hears thy voice,"
202,in the vast mute heavens of the spirit awake
203,where thy eagles of power flame and rejoice.
204,"out, out with the mind and its candles flares,"
205,"light, light the suns that never die."
206,for my ear the cry of the seraph stars
207,and the forms of the gods for my naked eye!
208,let the little troubled life-god within
209,"cast his veils from the still soul,"
210,"his tiger-stripes of virtue and sin,"
211,his clamour and glamour and thole and dole;
212,with wind and the weather beating round me
213,     up to the hill and the moorland i go.
214,who will come with me? who will climb with me?
215,wade through the brook and tramp through the snow?
216,not in the petty circle of cities
217,cramped by your doors and your walls i dwell;
218,over me god is blue in the welkin
219,        against me the wind and the storm rebel.
220,"i sport with solitude here in my regions,"
221,               of misadventure have me a friend.
222,who would live largely?who would live freely?
223,                 here to the wind-swept uplands ascend.
224,"i am the lord of tempest and mountain,"
225,          i am the spirit of freedom and pride.
226,stark must he be and a kinsman to danger
227,    who shares my kingdom and walks at my side
228,the miracle of birth
229,i saw my soul a traveller through time; 
230,"    from life to life the cosmic ways it trod, "
231,"obscure in the depths and on the heights sublime, "
232,    evolving from the worm into the god. 
233,"a spark of the eternal fire, it came "
234,    to build a house in matter for the unborn. 
235,"the inconscient sunless night received the flame, "
236,    in the brute seed of things dumb and forlorn 
237,life stirred and thought outlined a gleaming shape 
238,"    till on the stark inanimate earth could move, "
239,born to somnambulist nature in her sleep 
240,    a thinking creature who can hope and love. 
241,"still by slow steps the miracle goes on, "
242,the immortal's gradual birth mid mire and stone. 
243,because thou art
244,"because thou art all-beauty and all-bliss, "
245,    my soul blind and enamoured yearns for thee; 
246,it bears thy mystic touch in all that is 
247,    and thrills with the burden of that ecstasy. 
248,behind all eyes i meet thy secret gaze 
249,    and in each voice i hear thy magic tune: 
250,thy sweetness haunts my heart through nature's ways 
251,    nowhere it beats now from thy snare immune. 
252,it loves thy body in all living things; 
253,    thy joy is there in every leaf and stone: 
254,the moments bring thee on their fiery wings; 
255,    sight's endless artistry is thou alone. 
256,time voyages with thee upon its prow  
257,and all the futures passionate hope is thou
258,the inner fields
259,there is a brighter ether than this blue
260,"pretence of an enveloping heavenly vault,"
261,royaler investiture than this massed assault
262,of emerald rapture pearled with tears of dew.
263,immortal spaces of cerulean hue
264,are in our reach and fields without this fault
265,of drab brown earth and streams that never halt
266,in their deep murmur which white flowers strew
267,floating like stars upon a strip of sky.
268,this world behind is made of truer stuff
269,than the manufactured tissue of earth's grace.
270,there we can walk and see the gods go by
271,and sip from hebe's cup nectar enough
272,to make for us heavenly limbs and deathless face.
273,the golden light
274,thy golden light came down into my brain
275,and the grey rooms of mind sun-touched became
276,"a bright reply to wisdom's occult plane,"
277,a calm illumination and a flame.
278,"thy golden light came down into my throat,"
279,"and all my speech is now a tune divine,"
280,a paean-song of thee my single note;
281,my words are drunk with the immortal's wine.
282,thy golden light came down into my heart
283,smiting my life with thy eternity;
284,now has it grown a temple where thou art
285,and all its passions point towards only thee.
286,"thy golden light came down into my feet,"
287,my earth is now thy playfield and thy seat.
288,i passed into a lucent still abode
289,and saw as in a mirror crystalline
290,an ancient force ascending serpentine
291,the unhasting spirals of the aeonic road.
292,earth was a cradle for the arriving god
293,and man but a half-dark half-luminous sign
294,of the transition of the veiled divine
295,from matter's sleep and the tormented load
296,of ignorant life and death to the spirit's light.
297,"mind liberated swam light's ocean vast,"
298,and life escaped from its grey tortured line;
299,i saw matter illumining its parent night.
300,the soul could feel into infinity cast
301,timeless god-bliss the heart incarnadine.
302,"mother, i bow to thee!"
303,"rich with thy hurrying streams,"
304,"bright with thy orchard gleams,"
305,"cool with thy winds of delight,"
306,"dark fields waving, mother of might,"
307,glory of moonlight dreams
308,"over thy branches and lordly streams,"
309,"clad in thy blossoming trees,"
310,"mother, giver of ease,"
311,laughing low and sweet!
312,"mother, i kiss thy feet,"
313,speaker sweet and low!
314,"mother, to thee i bow."
315,"who hath said thou art weak in thy lands,"
316,when the swords flash out in twice seventy million hands
317,and seventy millions voices roar
318,thy dreadful name from shore to shore?
319,"with many strengths who art mighty and stored,"
320,"to thee i call, mother and lord!"
321,"thou who savest, arise and save!"
322,to her i cry who ever her foemen drave
323,back from plain and sea
324,and shook herself free.
325,"thou art wisdom, thou art law,"
326,"thou our heart, our soul, our breath,"
327,"thou the love divine, the awe"
328,in our hearts that conquers death.
329,"thine the strength that nerves the arm,"
330,"thine the beauty, thine the charm."
331,every image made divine
332,in our temples is but thine.
333,"thou art durga, lady and queen,"
334,"with her hands that strike and her swords of sheen,"
335,"thou art lakshmi lotus-throned,"
336,"pure and perfect without peer,"
337,"mother, lend thine ear."
338,"rich with thy hurrying streams,"
339,"bright with thy orchard gleams,"
340,"dark of hue, o candid-fair"
341,"in thy soul, with jewelled hair"
342,"and thy glorious smile divine,"
343,"loveliest of all earthly lands,"
344,showering wealth from well-stored hands!
345,"mother, mother mine!"
346,"mother sweet, i bow to thee,"
347,mother great and free.
348,the word of the silence
349,"a bare impersonal hush is now my mind,"
350,"a world of sight clear and inimitable,"
351,"a volume of silence by a godhead signed,"
352,"a greatness pure, virgin of will."
353,once on its pages ignorance could write
354,in a scribble of intellect the blind guess of time
355,"and cast gleam-messages of ephemeral light,"
356,a food for souls that wander on nature's rim.
357,but now i listen to a greater word
358,born from the mute unseen omniscient ray:
359,the voice that only silence' ear has heard
360,leaps missioned from an eternal glory of day.
361,all turns from a wideness and unbroken peace
362,to a tumult of joy in a sea of wide release.
363,the universal incarnation
364,"there is a wisdom like a brooding sun,"
365,"a bliss in the heart's crypt grown fiery white,"
366,"the heart of a world in which all hearts are one,"
367,a silence on the mountains of delight.
368,a calm that cradles fate upon its knees;
369,a wide compassion leans to embrace earth's pain;
370,"a witness dwells within our secrecies,"
371,the incarnate godhead in the body of man.
372,"our mind is a glimmering curtain of that ray,"
373,"our strength a parody of the immortal's power,"
374,our joy a dreamer on the eternal's way
375,hunting the fugitive beauty of an hour.
376,only on the heart's veiled door the word of flame
377,"is written, the secret and tremendous name."
378,the witness spirit
379,i dwell in the spirit's calm nothing can move
380,"and watch the actions of thy vast world-force,"
381,its mighty wings that through infinity move
382,and the time-gallopings of the deathless horse.
383,this mute stupendous energy that whirls
384,"the stars and nebulae in its long train,"
385,like a huge serpent through my being curls
386,with its diamond hood of joy and fangs of pain.
387,it rises from the dim inconscient deep
388,"upcoiling through the minds and hearts of men,"
389,then touches on some height of luminous sleep
390,the bliss and splendour of the eternal plane.
391,"all this i bear in me, untouched and still"
392,assenting to thy all-wise inscrutable will.
393,all is abolished but the mute alone.
394,"the mind from thought released, the heart from grief,"
395,grow inexistent now beyond belief;
396,"there is no i, no nature, known-unknown."
397,"the city, a shadow picture without tone,"
398,"floats, quivers unreal; forms without relief"
399,"flow, a cinema's vacant shapes; like a reef"
400,foundering in shoreless gulfs the world is done.
401,only the illimitable permanent
402,"is here. a peace stupendous, featureless, still."
403,"replaces all, - what once was i, in it "
404,a silent unnamed emptiness content
405,either to fade in the unknowable
406,or thrill with the luminous seas of the infinite.
407,the call of the impossible
408,our godhead calls us in unrealised things.
409,"asleep in the wide fields of destiny,"
410,a world guarded by silence' rustling wings
411,sheltered their fine impossibility.
412,"but part, but quiver the cerulean gates,"
413,close splendours look into our dreaming eyes;
414,we bear proud deities and magnificent fates;
415,faces and hands come near from paradise.
416,what shone thus far above is here in us;
417,bliss unattained our future's birthright is;
418,"beauty of our dim soul is amorous,"
419,we are the heirs of infinite widenesses.
420,"the impossible is the hint of what shall be,"
421,mortal the door to immortality.
422,"who was it that came to me in a boat made of dream-fire,"
423,with his flame brow and his sun-gold body?
424,"melted was the silence into a sweet secret murmur,"
425,"""do you come now? is the heart's fire ready?"""
426,"hidden in the recesses of the heart something shuddered,"
427,"it recalled all that the life's joy cherished,"
428,"imaged the felicity it must leave lost forever,"
429,and the boat passed and the gold god vanished.
430,now within the hollowness of the world's breast inhabits - 
431,for the love died and the old joy ended - 
432,"void of a felicity that has fled, gone for ever,"
433,and the gold god and the dream boat come not.
434,i have wrapped the wide world in my wider self
435,and time and space my spirit's seeing are.
436,"i am the god and demon, ghost and elf,"
437,i am the wind's speed and the blazing star.
438,"all nature is the nursling of my care,"
439,i am its struggle and the eternal rest;
440,"the world's joy thrilling runs through me, i bear"
441,the sorrow of millions in my lonely breast.
442,"i have learned a close identity with all,"
443,yet am by nothing bound that i become;
444,carrying in me the universe's call
445,i mount to my imperishable home.
446,"i pass beyond time and life on measureless wings,"
447,yet still am one with born and unborn things.
448,the kingdom within
449,there is a kingdom of the spirit's ease.
450,"        it is not in this helpless swirl of thought,"
451,"        foam from the world-sea or spray-whisper caught,"
452,"with which we build mind's shifting symmetries,"
453,"nor in life's stuff of passionate unease,"
454,        nor the heart's unsure emotions frailty wrought
455,        nor trivial clipped sense-joys soon brought to nought
456,nor in this body's solid transiences.
457,wider behind than the vast universe
458,"        our spirit scans the drama and the stir,"
459,"a peace, a light, an ecstasy, a power"
460,waiting at the end of blindness and the curse
461,"        that veils it from its ignorant minister,"
462,the grandeur of its free eternal hour.
463,life and death
464,"life, death, - death, life; the words have led for ages"
465,our thought and consciousness and firmly seemed
466,two opposites; but now long-hidden pages
467,"are opened, liberating truths undreamed."
468,"life only is, or death is life disguised, -"
469,life a short death until by life we are surprised.
470,bride of the fire
471,"bride of the fire, clasp me now close, - "
472,bride of the fire!
473,"i have shed the bloom of the earthly rose,"
474,i have slain desire.
475,"beauty of the light, surround my life, - "
476,beauty of the light!
477,"i have sacrificed longing and parted from grief,"
478,i can bear thy delight.
479,"image of ecstasy, thrill and enlace, - "
480,image of bliss!
481,"i would see only thy marvellous face,"
482,feel only thy kiss.
483,"voice of infinity, sound in my heart, - "
484,call of the one!
485,"stamp there thy radiance, never to part,"
486,o living sun.
487,"silence is round me, wideness ineffable;"
488,white birds on the ocean diving and wandering;
489,"a soundless sea on a voiceless heaven,"
490,"azure on azure, is mutely gazing."
491,identified with silence and boundlessness
492,my spirit widens clasping the universe
493,"till all that seemed becomes the real,"
494,one in a mighty and single vastness.
495,"someone broods there nameless and bodiless,"
496,"conscious and lonely, deathless and infinite,"
497,"and, sole in a still eternal rapture,"
498,gathers all things to his heart for ever.
499,i have a hundred lives
500,i have a hundred lives before me yet
501,"to grasp thee in, o spirit ethereal,"
502,be sure i will with heart insatiate
503,pursue thee like a hunter through them all.
504,thou yet shalt turn back on the eternal way
505,and with awakened vision watch me come
506,smiling a little at errors past and lay 
507,"thy eager hand in mine, its proper home."
508,meanwhile made happy by thy happiness
509,"i shall approach thee in things and people dear, "
510,"and in thy spirit's motions half-possess,"
511,"loving what thou hast loved, shall feel thee near,"
512,until i lay my hands on thee indeed
513,"somewhere among the stars, as 'twas decreed."
514,the unseen infinite
515,arisen to voiceless unattainable peaks
516,"i meet no end, for all is boundless he,"
517,"an absolute joy the wide-winged spirit seeks,"
518,"a might, a presence, an eternity."
519,in the inconscient dreadful dumb abyss
520,are heard the heart-beats of the infinite.
521,"the insensible midnight veils his trance of bliss,"
522,a fathomless sealed astonishment of light.
523,"in his ray that dazzles our vision everywhere,"
524,our half-closed eyes seek fragments of the one:
525,only the eyes of immortality dare
526,to look unblinded on that living sun.
527,"yet are our souls the immortal's selves within,"
528,comrades and powers and children of the unseen.
529,"mystic miracle, daughter of delight, "
530,"life, thou ecstasy,"
531,let the radius of thy flight
532,on thy wings thou bearest high
533,"glory and disdain,"
534,"godhead and mortality,"
535,ecstasy and pain.
536,take me in thy wild embrace 
537,without weak reserve
538,body dire and unveiled face;
539,"faint not, life, nor swerve."
540,"all thy bliss i would explore,"
541,all thy tyranny.
542,"cruel like the lion's roar,"
543,sweet like springtide be.
544,"like a titan i would take,"
545,"like a god enjoy,"
546,"like a man contend and make,"
547,revel like a boy.
548,"more i will not ask of thee,"
549,nor my fate would choose;
550,"king or conquered let me be,"
551,live or lose.
552,even in rags i am a god;
553,"fallen, i am divine;"
554,"high i triumph when down-trod,"
555,long i live when slain.
556,"thou who pervadest all the worlds below,"
557,"yet sitst above,"
558,"master of all who work and rule and know,"
559,servant of love!
560,thou who disdainest not the worm to be 
561,"nor even the clod,"
562,therefore we know by that humility
563,that thou art god.
564,i have thrown from me the whirling dance of mind
565,"and stand now in the spirit's silence free,"
566,"timeless and deathless beyond creature-kind,"
567,the centre of my own eternity.
568,i have escaped and the small self is dead;
569,"i am immortal, alone, ineffable;"
570,"i have gone out from the universe i made,"
571,and have grown nameless and immeasurable.
572,"my mind is hushed in a wide and endless light,"
573,"my heart a solitude of delight and peace,"
574,"my sense unsnared by touch and sound and sight,"
575,my body a point in white infinities.
576,i am the one being's sole immobile bliss:
577,"no one i am, i who am all that is."
578,soul in the ignorance
579,"soul in the ignorance, wake from its stupor."
580,"flake of the world-fire, spark of divinity,"
581,lift up thy mind and thy heart into glory.
582,"sun in the darkness, recover thy lustre."
583,"one, universal, ensphering creation,"
584,"wheeling no more with inconscient nature,"
585,"feel thyself god-born, know thyself deathless."
586,timeless return to thy immortal existence.
587,i sat behind the dance of danger's hooves
588,"in the shouting street that seemed a futurist's whim,"
589,"and suddenly felt, exceeding nature's grooves,"
590,"in me, enveloping me the body of him."
591,"above my head a mighty head was seen,"
592,a face with the calm of immortality
593,and an omnipotent gaze that held the scene
594,in the vast circle of its sovereignty.
595,his hair was mingled with the sun and breeze ;
596,the world was in his heart and he was i:
597,"i housed in me the everlasting's peace,"
598,the strength of one whose substance cannot die.
599,the moment passed and all was as before;
600,only that deathless memory i bore.
601,my breath runs in a subtle rhythmic stream;
602,it fills my members with a might divine:
603,i have drunk the infinite like a giant’s wine.
604,time is my drama or my pageant dream.
605,now are my illumined cells joy’s flaming scheme
606,and changed my thrilled and branching nerves to fine
607,channels of rapture opal and hyaline
608,for the influx of the unknown and the supreme.
609,"i am no more a vassal of flesh,"
610,a slave to nature and her leaden rule;
611,i am caught no more in the senses’ narrow mesh.
612,"my soul unhorizoned widens to measureless sight,"
613,"my body is god’s happy living tool,"
614,my spirit a vast sun of deathless light.
615,to weep because
616,to weep because a glorious sun has set
617,which the next morn shall gild the east again;
618,to mourn that mighty strengths must yield to fate
619,which by that force a double strength attain;
620,to shrink from pain without whose friendly strife
621,"joy could not be, to make a terror of death"
622,"who smiling beckons us to farther life,"
623,and is a bridge for the persistent breath;
624,despair and anguish and the tragic grief 
625,"of dry set eyes, or such disastrous tears"
626,"as rend the heart, though meant for its relief, "
627,and all man's ghastly company of fears
628,are born of folly that believes the span
629,of life the limit of immortal man.
630,when in the heart of the valleys and hid by the roses
631,"the sweet love lies,"
632,has he wings to rise to his heavens or in the closes
633,lives and dies?
634,on the peaks of the radiant mountains if we should meet him
635,"proud and free,"
636,will he not frown on the valleys? would it befit him
637,chained to be?
638,"will you then speak of the one as a slave and a wanton,"
639,the other too bare?
640,but god is the only slave and the only monarch
641,it is god who is love and a boy and a slave for our passion
642,he was made to serve;
643,it is god who is free and proud and the limitless tyrant
644,our souls deserve.
645,the guest - sonnet
646,i have discovered my deep deathless being:
647,"masked by my front of mind, immense, serene"
648,"it meets the world with an immortal's seeing,"
649,a god-spectator of the human scene.
650,no pain and sorrow of the heart and flesh
651,can tread that pure and voiceless sanctuary.
652,"danger and fear, fate's hounds, slipping their leash"
653,"rend body and nerve, - the timeless spirit is free."
654,"awake, god's ray and witness in my breast,"
655,in the undying substance of my soul
656,"flamelike, inscrutable the almighty guest."
657,death nearer comes and destiny takes her toll;
658,he hears the blows that shatter nature's house:
659,"calm sits he, formidable, luminous."
660,"oh lord, what shall i say to you?"
661,by anandamurti (prabhat ranjan sarkar)
662,english version by gunther smith
663,"oh lord, what shall i say to you?"
664,"you have broken my dark slumber,"
665,and now i shall move on the path of light.
666,"i shall move, i shall move, i shall move."
667,"my flower, which was long neglected,"
668,you have threaded in your garland.
669,"the offerings of my mind,"
670,"which were soiled with dust,"
671,you have taken onto your lap.
672,"i exchange all i had, for i have received you."
673,to you alone i will listen.
674,"i will listen, i will listen, i will listen."
675,"oh unknown traveler, you come alone"
676,by anandamurti (prabhat ranjan sarkar)
677,english version by gunther smith
678,"oh unknown traveler, you come alone."
679,at the end of night when the jasmine flower fell.
680,"seeing my door closed, you stood by the wayside."
681,"my eyes half closed in sleep, some things i could see, and some things i could not."
682,"then you went away at dawn, wet with the mist at the end of night, floating in the infinite void."
683,the jasmine creeper at my door still carries the message of your arrival.
684,"removing its drops of dew, it remains awake, ever waiting for you."
685,"if at that time, i had opened my door, and whispered a word in your ear that autumn midnight,"
686,"i would have floated aloft, and mingled myself in your melody."
687,"on the path of the journey to effulgence,"
688,by anandamurti (prabhat ranjan sarkar)
689,english version by gunther smith
690,"on the path of the journey to effulgence,"
691,"all are invited today, hence, i call."
692,"the earth, swinging in the great universal swing, has become beautiful."
693,"today, there is no discrimination."
694,"come all together, forgetting rivalry, let us all jointly announce that we are one and will remain one."
695,all hearts are threaded in the same garland of gems. let us all sing the song in the same tune.
696,"there is no high or low, black or white. all are brothers in the world."
697,"pain or earnestness of one, is pain or earnestness of all."
698,"all hearts oscillate in the same swing, within the ocean of nectar, singing one song."
699,"full of love, arousing hope, speaking in the same tone?look ahead."
700,"extending love to both friend and foe, singing the song of pardon, let us go forward."
701,the violin of all human minds
702,by anandamurti (prabhat ranjan sarkar)
703,english version by gunther smith
704,"the violin of all human minds is playing with one harmony today, and so is the scent of every heart."
705,"with your sweet appearance, you have descended on the earth, giving the same realization."
706,"do not break this garland of flowers, which is the entire wealth of my love."
707,come closer and still closer and closer;
708,and take away my everything.
709,"at dusk, at dawn i gaze upon your beauty"
710,by darshan singh
711,english version by barry lerner and harbans singh bedi
712,original language urdu
713,"at dusk, at dawn i gaze upon your beauty --"
714,a dazzling spectacle of rising moon and sun.
715,"so far, the wayfarers have not discovered your footprints:"
716,they stand staring at the stepstone of your door
717,your glance of abundant grace did not satisfy;
718,we with the seeing eye know a glance from a glance.
719,"saqi, they've just arrived and taken their seats;"
720,how is it that they've already gained intimacy?
721,some you inspire with the madness of prostration:
722,they cannot tell their heads from your door.
723,"saqi, whoever comes by even a tinge of awakening"
724,"we see sitting in your assembly, oblivious to this world."
725,men who are maddened by the thought of the goal
726,see not fellow travelers -- they are intent on the road.
727,"master, in what strange state your darshan lives:"
728,we always see his eyes moist with tears.
729,how did i ever think silence the language of love?
730,by darshan singh
731,english version by barry lerner and harbans singh bedi
732,original language urdu
733,how did i ever think silence the language of love?
734,what i thought would not come to light was in plain sight.
735,i hear my silence talked of in every lane;
736,the suppression of a cry is itself a cry of pain.
737,the beloved's regard was but a flash of light;
738,how innocent to think i'd found eternal bliss.
739,"these, too, in the end were the gardener's: the lightning and the wind"
740,and that handful of pitiful straws i'd called my nest.
741,"darshan, the glances i'd fancied voiced my love --"
742,even they couldn't convey the unplumbed depths of my longing.
743,how should i tell of the feeling that reigns
744,by darshan singh
745,english version by barry lerner and harbans singh bedi
746,original language urdu
747,how should i tell of the feeling that reigns in the court of the friend?
748,"dancing light is my beloved's face, cup and carafe are ecstatic!"
749,every nook and cranny is effulgent with his light;
750,every mote and grain celebrates the beloved's face.
751,"on earth from end to end i see his beauty,"
752,in heaven after heaven i gaze upon my friend.
753,"seeker banished from the beatific vision, look through the eyes of your heart!"
754,how can you see the beloved's light with eyes of flesh and blood?
755,"man's sorrows i bore, this world i loved --"
756,my whole life i gave to the work of my friend.
757,"brushing past me, it stirred my heart and was gone:"
758,god! the morning breeze has learned to tease from my friend.
759,"let them try to imprison him in temple, mosque and church!"
760,the seeing eye finds the beloved's signs in every mote.
761,very near your heart are seekers of your vision;
762,those who look at the surface are exiled from the beloved's light.
763,what can i say of the grace he showers on me within?
764,"darshan, the moment i close my eyes, the beloved's light begins."
765, in what state was i
766,by darshan singh
767,english version by barry lerner and harbans singh bedi
768,original language urdu
769,"who knows, in what state was i when i met her eyes?"
770,"where, who was i? completely lost."
771,for you that sun and that moon are gaudy snares:
772,"beware, lest caught, your gaze rise no higher."
773,my love -- the paradise at my journey's end -- is annoyed.
774,why does every path seem so lonesome?
775,"impetuous tipplers, have regard for the goblets and cups!"
776,"as you journey through the world of hearts, step gently."
777,"my madness knows why, nightlong, desperate with sorrow,"
778,"i rush about with tearful eyes, embracing shadows."
779,"i follow no guide, no creed -- just an inkling of the way:"
780,a tug at my heart leads me forward.
781,"friends, we must not let the darkness enshroud us again!"
782,so many kissed the gallows before we saw this dawn.
783,"when beauty herself provokes a look, therein lies the thrill:"
784,"were she not so expectant, what would compel my eyes?"
785,"darshan, life is the confluence of reality and dream:"
786,in this union lies the exaltation of a human being.
787,wonder of wonders!
788,by darshan singh
789,english version by barry lerner and harbans singh bedi
790,original language urdu
791,wonder of wonders! what grace flows within the saqi's tavern!
792,the secrets of both worlds are an open book in his cup.
793,why do you seek in the temple? what will you find in the ka'aba?
794,"open your inner eye, look in the idol house of your heart."
795,"friends, by morning you'll find nothing here but ashes:"
