,TEXT
184,"amidst the gold and the purple, and the pillows of his bed:"
185,"all hastening onward, yet none seemed to know"
186,the wheat-blade whispers of the sheaf.
187,"but o, nevermore can we prison him tight."
188,"under these leafy vaults and walls,"
189,"(distinctly here the spirit sneezed,)"
190,it shines superior on a throne of gold:
191,around it cling.
192,"may meditate a whole youth's loss,"
193,"i'm safe enlisted fer the war,"
194,"whom phoebus taught unerring prophecy,"
195,"when thee, the eyes of that harsh long ago"
196,"flutter,"
197,a way that safely will my passage guide.”
198,and breaths were gathering sure
199,"you have done this, says one judge; done that, says another;"
200,in their archetypes endure.
201,"returne, the starres of morn shall see him rise"
202,"brown-gabled, long, and full of seams"
203,"the foes inclosing, and his friend pursued,"
204,the tribute of this verse.
205,"take the warm welcome of new friends with thee,"
206,"augmented, sweet, a hundred fold"
207,in some lady's gyahden.
208,and bow to dread inquisitor and worship lords of dust;
209,its temples and its palaces did seem
210,"but i, or any demmercrat, feels comf'table to stan' on,"
211,"miles off, three dangerous miles, is home;"
212,every day a rich reward will give;
213,"else, suffer’d, it will set the heart on fire,"
214,"who, never looking forward, are indeed"
215,gay little heart!
216,"while from his hand i squeeze the golden prize,"
217,"among the sources of thy glorious streams,"
218,as when i read in god's own holy book.
219,"and while before me, spotted with white sails,"
220,yet that whip's name too noble
221,"i'm comin', ed."
222,"what gods, what madness, hither steer’d your course?"
223,"and raised their eyes above,"
224,it spoils me for the smiling of the rest’—
225,"yearns to its source. the spirit thirsts for god,"
226,that wisdom's lips seemed borrowing friendship's heart.
227,the oil upon the puddles dries
228,snows hide his shoulders; from beneath his chin
229,when the glance hast lost its beam;
230,"best gems of nature's cabinet,"
231,"as round some giant hive, all day and night,"
232,"whether they met on festal eve, in field,"
233,"who cometh over the hills,"
234,"in the shadow of the shores; as dead leaves wake,"
235,touch it: the marble eyelids are not wet--
236,"oh, say, is he, the eternal, there?"
237,the blessed memory of thy worth
238,"from his own tripod, and his holy tree;"
239,i sate down beneath the beech
240,a million torches lighted by thy hand
241,thy sleep makes ridiculous.
242,whose potent unity and concentric force
243,of peace? it is thy father's name. thy life
244,"now, if thou art a poet, tell me not"
245,"who stood in expectation by,"
246,"mine eyes were of their madness half beguiled,"
247,"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,"
248,you sha' n't roll yo' eyes at me.
249,case dey nevah tech a drouf.
250,it will be spring again.
251,"mine are calm and tranquil days,"
252,sang as little children sing;
253,the things it wrought on; i believe
254,"from flight, seditious angel, to receave"
255,"what once has been and ne'er shall be again,"
256,"sky, marsh, my soul, and yonder sail."
257,"thy merited reward, the first assay"
258,"except in france; and when it’s found in france,"
259,for the greek must ask elsewhere.
260,whose anvil's even din
261,"that truthful teacup, our dictator, knows;"
262,when hills are free from snow
263,"uttering bare truth, even so as foes commend."
264,"endu'd with human voice and human sense,"
265,whatever anybody had
266,"is passed, and our aereal speed suspended."
267,"afar the melancholy thunder moaned,"
268,"their hate, and selfishness, and pride!"
269,"i would don my hose of homespun gray,"
270,an hundred silken cords are set
271,i have lost the urban ways.
272,"and sorrowful to-day, thy children set"
273,"or by some cabin door, a bush"
274,was freedom's home or glory's grave!
275,save for a cry that echoes shrill
276,"with its close-curling gold, and love revived."
277,a golden helm his front and head surrounds
278,"but, through the war-cloud, pray to thee"
279,"swing, like a ship at anchor, roun' my base,"
280,for peace or rest too well he saw
281,from her stately place on high.
282,that passed with you and me.--
283,sweet hope!
284,"for high, and yet more high, the murmurs swell"
285,"let those whom nature hath not made for store,"
286,"said, `pass not, so cold, these manifold"
287,the adulterate death of lucrece and her groom.
288,whilst this....
289,"""the snow that husheth all,"
290,"then pausing, thus his prophecy renews:"
291,to accomplish suicide.
292,early or late? or shall that commonwealth
293,"he plays a little, sings a song,"
294,"each by his fiery torture howl and rave,"
295,"and twitter, and again are still."
296,my daily thoughts perpetual converse held
297,"yon trunk had thrice a hundred rings,"
298,is lovely round; a beautiful river there
299,"take heed (dear heart) of this large privilege,"
300,at once comes tumbling down the rocky wall;
301,"sat mournfully guarding their corpses there,"
302,low in supplication bending.
303,twas when you stole my maidenhead;
304,"""sorry?  of course you are, though you compress,"
305,i would not live alway
306,"the king ordains their entrance, and ascends"
307,very sleepy with the silence.
308,which clanged along the mountain's marble brow--
309,"it steam in winter like an ox's breath,"
310,"in prosperous days. like a dim, waning lamp"
311,jarr'd his own golden region; and before
312,"flood his black hearthstone till its flames expire,"
313,when high i heap it with the weed
314,the climax of those hopes and duties dear
315,wait his returning strength.
316,"strove to raise itself in blessing,"
317,nile shall pursue his changeless way:
318,i must be home by noon-time with the cart.'
319,both the unseen and the seen;
320,the poet comes the last!
321,with many sighs;
322,"where, all the long and lone daylight,"
323,full of the calm that cometh after sleep:
324,"men said, into a smile which guile portended,"
325,"still sigurd rides with the brethren, as oft in the other days,"
326,was she not somewhat that he could not rule
327,"gnossian his shafts, and lycian was his bow:"
328,"you didn't stop for fuss,--"
329,"deaf, and dumb, and blind, and cold,"
330,i'm here--so far--and starting on again.
331,"a different man was brother timothy,"
332,see! neptune’s altars minister their brands:
333,"to match your wit against the maker's will,"
334,"absently fingering and touching it,"
335,three hours the first november dawn
336,ran ever clearer speech than that did run
337,"""i say it's someone passing."""
338,"the visual nerve is withered to the root,"
339,"""what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?"""
340,"there is nothing to hope for, i am tired,"
341,"i left the place with all my might, --"
342,"let dat cradle swing,"
343,he has no calling and he owns no trade.
344,"as they were loosened by that hermit old,"
345,"then rose they up around him,"
346,but because she stept to her star right on through death
347,an' see a hundred hills like islan's
348,and i am still the same;
349,misnames as the dog rosey now.
350,have seen the danger which i dared not look
351,"and hoping chink, she talked of morts of luck:"
352,"the meadows mine, the mountains mine, --"
353,since ferdinand and you begun
354,i'm always thinkin' long.
355,"ho! philip, send, for charity, thy mexican pistoles,"
356,on to their shining goals:--
357,glory might burst on us!
358,"what's de use o' gittin' mopy,"
359,"yet by experience taught we know how good,"
360,all foredoomed to melt away;
361,as if she were a woman. we who have clipt
362,"it would be different if more people came,"
363,"plucked from the death, wilt thou repay me thus?"
364,"a spirit of unresting flame,"
365,"the present is enough, for common souls,"
366,"hear its low inward singing,"
367,"be sure to read it rightly. so, i mused"
368,and keep my senses straightened
369,three trojans tug at ev’ry lab’ring oar;
370,"mind us of like repose, since god hath set"
371,lift their blue woods in broken chain
372,in nothing is wanting;
373,but thrown in a heap with a crush and a clatter;
374,"and kissed him with a sister's kiss,"
375,"""thou of the god-lent crown,"
376,like pageantry of mist on an autumnal stream.
377,"and she said: ""what dost thou, brynhild? what matter dost thou seek?"""
378,or the bolder art essaying
379,"thither, if but to prie, shall be perhaps"
380,o'er sweet profounds where only love can see.
381,"he smell de bacon cookin', an' he hyeah de fiah hum;"
382,came in slow pomp;--the moving pomp might seem
383,"with peace and soft rapture shall teach life to glow,"
384,but thy tranquil waters teach
385,"smoothing the clustered hair, and parting it"
386,"in all that clang and hewing out of men,"
387,"her scutcheon shows white with a blazon of red,--"
388,"looks, and is dumb with awe;"
389,"then oer the rushes flies again,"
390,"a thousand rubs had flattened down each little cherub's nose,"
391,"a fragrance from the cedars, thickly set"
392,of bright and dark obscurity;
393,"science and song, and all the arts that please;"
394,"you turn, o jeanne, on our mystery"
395,a graciousness in giving that doth make
396,most beauteous isadore!
397,whose instinct was to listen and obey.
398,but homesick tears would fill the eyes
399,"already, land! thou hast declared:  'tis done."
400,with war unhop’d the latians to surprise?
401,"the eyes beside had wrung them dry,"
402,tis the chronicle of art.
403,"that moved in the beginning o'er his face,"
404,and glance securely round.
405,so that ye for them are made
406,of course throw monstrous shadows: those who think
407,he who plays with old iagoo
408,“why won’t the farm next to it do for you?”
409,"on which an army once did feast,"
410,their country free and joyous--
411,o sun-hint that hath overspread
412,"the mad briareus of disunion rise,"
413,"like your nest,"
414,"leading downward to the river,"
415,a tyrian colony; the people made
416,can storied urn or animated bust:
417,"but she spake: ""bid hither gunnar, lest the sun sink o'er the bent,"
418,despised am i by those who call'd me friend
419,the days pass over me
420,"knowing this, that never yet"
421,"no, i won't be seein' nobody in the mornin',"
422,the crack as of her splitting. did she take
423,"i see them torn by gallic guns,"
424,"thou feel'st it burning, in and in,--and fear"
425,your paynim heroes faster ride
426,but all of them are bad enough
427,"_you_ took to follerin' where the prophets beckoned,"
428,godminster? is it fancy's play?
429,so that my stern resolve was almost gone.
430,"meekly in the eternal footsteps trod,"
431,"all along down ""injin crik?"""
432,look down the shining peaks of all my days
433,the wood giant
434,"tinkle, tinkle, sweetly it sung to us,"
435,"has it become to thee a labyrinth never ending,"
436,"on her changed world of ruin, waste and wrack,"
437,"then along the river strand,"
438,"these are the tales, or new or old,"
439,"for her this rhyme is penned, whose luminous eyes,"
440,like morning glory
441,"the quavering thunder thereupon had ceas'd,"
442,"to men below,"
443,they had not set there. who had set it there?
444,kneeling ne'er spoiled silk stockings; quit thy state;
445,"sometime, when all life's lessons have been learned,"
446,shine knightly star and plume of snow?
447,"he said; and while he spoke, with flying speed"
448,"from earth, with the waters of pain."
449,sent by an hand unseen;
450,till after-poets only knew
451,to his aid the strong reverses
452,"and leave the words unspoken i yet have will to speak."""
453,"the tablet telling where he ""fell on sleep,""--"
454,is writ in moods and frowns and wrinkles strange.
455,"so there on an eve is sigurd in the ancient niblung hall,"
456,"good ringers, pull your best,"" quoth he."
457,to gather weeds in the regardless stream.
458,and the lure of what is called heaven is little or nothing to me.
459,me up like that.  'essence de la valliere'--
460,"but when i read of the brotherhood of lovers, how it was with them;"
461,all these were round my steady paces.
462,fearless but weary to thy arms i creep;
463,those cobweb nerves he could not dull within.
464,"with dews of tropic morning wet,"
465,"here those that in the rapid course delight,"
466,‘received that cheque.’ but you!... i send you funds
467,and never be forgot in mighty rome
468,"fooled with your promises,"
469,thy mission to a world of woe.
470,attend your brother to the stygian flood.”
471,less often man--the harder of the two.
472,"shining and shouting each to each that place),"
473,and call that brilliant flower the painted cup.
474,"a privilege, i think,"
475,our frowning foemen of the night
476,"of sainthood in purple the pattern and pick,"
477,and bright in heaven's jewelled crown
478,"when, dreadful to behold, from sea we spied"
479,"halcyons of memory,"
480,hale as the morn and happy as her song.
481,and catered for it as the cretan bees
482,"some moment, nailed on sorrow's cross,"
483,"and in the air, her new voice luting soft,"
484,with sincerest conviction their chairs to the shore;
485,my prayer away i threw;
486,"an old smoaked blanket arches oer his head,"
487,the sundown's golden trail?
488,"far, far away, o ye"
489,"our saxon tongue has known,--"
490,"“the nymph, who scatters flaming fires around,"
491,"thus farr to try thee, adam, i was pleas'd,"
492,swifter far than youth's delight--
493,"all autumn pil'd, though spring and autumn here"
494,"for 'twas e'en as a great god's slaying, and they feared the wrath of the sky;"
495,"but heaven in thy creation did decree,"
496,and i've been like that silly girl.
497,"burns in thee, child?--what good can thee betide,"
498,"skins of otter, lynx, and ermine,"
499,to make a body curse.
500,"no, no, you have dismiss'd me; and i go"
501,"and full of wonder, full of hope as he."
502,were murmuring on the stifling air
503,"how poor these pallid phrases seem,"
504,"‘these monsters, set out in the open sun,"
505,"before the saintly soul, whose human will"
506,and on her ample square from side to side
507,"and hold the hours as joshua stayed the sun,--"
508,"he scarce had ended, when those two approachd"
509,"blindness like that would scare the mole and bat,"
510,"did from the altar steal a smouldering brand,"
511,"""he whose lot hath been"
512,"our present, our past, our to be,"
513,"now rise and look upon me.""  and she rose,"
514,came sages urging on his foamy steed:
515,"is beaten by the winds, with foggy vapours bound."
516,"and finde thee knowing not of beasts alone,"
517,"apple-blossoms pink, and low"
518,"pride of thy sex, miss harriet martineau!"
519,"we’ll say instead, the inconsequent creature, man,—"
520,until the bitter summons fell--
521,with level wings swinging
522,"lift not your hands in the banded war,"
523,"would my heart and life flow onward, deathward, through this dream of"
524,"but de lawd is all aroun' you,"
525,"in slumber; for thine enemy never sleeps,"
526,to hold it fast.
527,"tain't the words alone, but feelin's,"
528,"no angry bolt, but harmless flame."
529,the beauty and the joy of their renewed might.
530,"oh, those days, so sweet, so happy,"
531,if men are always at a loss
532,"they were wet, and glistened with raindrops, shed"
533,and circling wonders fill the vast profound.
534,"the love that lived through all the stormy past,"
535,"but it is not enough, ah! not enough"
536,the pyramids have risen.
537,"""play uppe, play uppe, o boston bells!"
538,"is plain, thou say'st: but wherefore god this way"
539,"to rise upon some other shore,"
540,"at dusk of eve,"
541,"and then, as is my wont, i told"
542,with warning cough and threatening wheeze
543,"who had my mother's servant been,"
544,"daily struggling, though unloved and lonely,"
545,"there's a certain slant of light,"
546,honour to the old bow-string!
547,fall again.
548,"love, on myriad lips fairer than yours, kisses you could not give! . . ."
549,how heavy it seemed! as heavy as a stone;
550,"concerning him ye wot of, thus to think"
551,"thou too art victor, rochambeau!"
552,"when thou hadst overcome the sharpness of death, thou didst open the kingdom of heaven to all believers."
553,"and wit, like ocean, rose and fell?--"
554,"how they had waited for him, to complete"
555,heart as though with ashes blending;
556,and give a meaning to their lives; and still
557,along the track. afore the noonday meal
558,but descend to the ocean again.
559,and yet its whole career
560,when waves forget to roll.
561,"i see two boats with nets, lying off the shore of paumanok, quite still;"
562,"rais’d on the seas, the surges to control—"
563,"passing to lap thy waters, crushed the flower"
564,"ay, knelt and worshipped on, as love in beauty's bower,"
565,the tale is one of distant skies;
566,"the herded wolves, bold only to pursue;"
567,would we were bidden with the rest!
568,feel the pulses of the brave
569,"sparked a ruby through its heart,"
570,"from the overhanging branches,"
571,"i see them mix'd with george's sons,"
572,"i watch you in your crystal sphere,"
573,daih 's de ho'n a blowin'!
574,to teach in schools of little country towns
575,"listening, with half-suspended breath,"
576,beneath thy gracious feet!
577,"his hand the captive's fetters broke,"
578,did this wood come floating thick
579,and confessors betwixt.
580,"his boundless gulfs and built his shore, thy breath,"
581,"a hundred years, and fifty more, had spread their leaves and snows,"
582,and yet perhaps you had been startled less
583,"and say, ‘fie, pale-face! are you english girls"
584,"at length they turn to nothing else but down,"
585,"and, waking, find it vision,--none the less"
586,"here on the street as strangers do,"
587,it is but three times thou hast set thine eyes
588,"behind the heads of children) compliments,"
589,"pulled by mules dat run like rabbits, each one tryin' to git ahead."
590,"unclasped the rusty belt beneath,"
591,you heard the news from vincent carrington.
592,"got the ill name of augurs, because they were bores, —)"
593,"sire, son, and grandson; so the century glides;"
594,"but she guesses he is near,"
595,"and so,"
596,"and tender thoughts, and prayers, remains,"
597,"then thro’ his breast his fatal sword he sent,"
598,"""i mean estelle has always held the purse."""
599,"though books on manners are not out of print,"
600,"so, then, without a word that might offend"
601,"seed-field of simpler manners, braver truth,"
602,"the pain when it did live,"
603,"busy, with sacerdotal tailorings"
604,"upon whose boughs were wicker cages hung,"
605,"soft, discontented eyes!"
606,she still must keep the locket to allay
607,and the rude people rage with ignorant cries
608,skirting the stream.
609,"""o lord, that didst smother mankind in thy flood,"
610,"the silence, and the rain."
611,"is this a time to be cloudy and sad,"
612,"blood-dipped arrows, which savages make"
613,i think i'll just call up my wife and tell her
614,the moon and the stars were anxious
615,they shaped our future; we but carve their names.
616,"nor the president in his presidency, nor the rich in his great house."
617,"in our embraces we again enfold her,"
618,robe us once more in heaven-aspiring creeds
619,"in the twilight of age all things seem strange and phantasmal,"
620,back to its mansion call the fleeting breath?
621,the very gods arising mid their carven images:
622,"ah! still, methinks, i hear them calling;"
623,a wild and stormy sea;
624,"""sir, ye shall find him, if ye follow up"
625,tis the djinns' wild streaming swarm
626,how many times we must have met
627,"dark with more clouds than tempests are,"
628,then the smile from her bright eyes faded and a flush came over her cheek
629,lowly and soft she said it; but spake out louder now:
630,"the sower scatters broad his seed,"
631,"and thus each tint or shade which falls,"
632,the dust of half a century lies
633,above the myriad roofs and spires rise;
634,and they whispered to each other:
635,then he stripped the shirt of wampum
636,"at least if so we can, and by the head"
637,"here comes the cripple jane!""  and by a fountain's side"
638,to me that time did not appeire:
639,"so neighbour'd to him, and yet so unseen"
640,the wondering rabbi sought the temple's gate.
641,"are angel faces, silent and serene,"
642,ef zeke had be'n the bigges' man
643,and when i bade the dream
644,"and tip with feathers, orange and green,"
645,"or at the church, she ever bore herself"
646,"how nature to the soul is moored,"
647,"""rubadub! rubadub! wake and take the road again,"
648,i do not keer a jot;
649,"swifter was the hunter's rowing,"
650,let the scared dreamer wake to see
651,"(like essence-peddlers) thet'll make folks long to be without 'em,"
652,"as if we guessed what hers have been,"
653,which goaded him in his distress
654,"o so many, many, many"
655,"lord, remember me!"""
656,"far from the woods where, when the sun has set,"
657,abloom by sacred streams
658,"nathless, as hath been often tried,"
659,"i feel the road unroll,"
660,"and not be nearer therefore to the moon,"
661,"forelaid and taken, while he strove in vain"
662,"and country eyes, and quiet faces --"
663,"some come ridin' in top-buggies wid de w'eels all painted red,"
664,when blighting was nearest.
665,i can see how you might. but i don't know!
666,"the orchestra had cheered till they were hoarse,"
667,pillars by madness multiplied;
668,"""now the place where the accident occurred----"""
669,"a poet in his youth, and the cuckoo-bird"
670,"no rest that throbbing slave may ask,"
671,o'er time's delusive tide.
672,“i’m going to put you on the farm next to it.”
673,no word for a while spake regin; but he hung his head adown
674,"""he!  patron!"
675,"three lives, three strides, three foot-prints in the sand;"
676,"till they have told their fill, could scarce express"
677,the morning and the evening made his day.
678,"""stella, see that grasshopper"
679,"of blooming myrtle and faint lemon-flowers,"
680,"let us do our work as well,"
681,"we hear our mother call from deeps of time,"
682,of brynhilda's love and the wrath of gudrun.
683,who digs last year's potato hill?--
684,"those hours the ancient timepiece told,--"
685,"would split, for size of me."
686,in just the dress his century wore;
687,"his song, though very sweet, was low and faint,"
688,then to tell.
689,my winter sports begin.
690,"envy and calumny and hate and pain,"
691,"the play is done,--the curtain drops,"
692,and murmured a strange and solemn air;
693,"the cloud is gone that wove the sandstone,"
694,"i see little and large sea-dots, some inhabited, some uninhabited;"
695,time never did assuage;
696,that saw the cross without the bear.
697,the deer invites no longer
698,taught by the sorrows that his age had known
699,like slippers after shoes.--
700,and willing grow old
701,"to paris, and you make no sign at all."
702,"from the pulpit read the preacher, ""goodman garvin and his wife"
703,"even hearts estranged would turn once more to me,"
704,"the china dustless, the keen knife-blades bright,"
705,"was in cremona's workshops made,"
706,an honest tongue may drop a harmless hint.
707,"you shall not find the sons of atreus here,"
708,to intercept the sunshine and your face.
709,playmates' glad symphony.
710,"her lion-port, her awe-commanding face,"
711,my father’s sister started when she caught
712,how you sprang! how you threw off the costumes of peace with indifferent hand;
713,"these fly to the heavens--their course never ends,"
714,not in the close successive rattle
715,"a man in the wars delighting, blind-eyed through right and wrong:"
716,"--so they feast in the hall of atli, and that eve is the first of the seven."
717,"i turned, and saw behind me surge"
718,to turnus only second in the grace
719,"on winter afternoons,"
720,"their heads, distilling gore, his chariot grace."
721,"let sophists give the lie, hearts droop, and courtiers play the worm,"
722,"they say that 'time assuages,' --"
723,the story of a spavined steed;
724,"swifter far than happy night,"
725,"around my will to link it with her own,"
726,"in the worst of his poems are mines of rich matter,"
727,"upon sea-beaten cape,"
728,"by a great master of the past,"
729,"counts his nectars -- enters,"
730,all over the vale below.
731,while with thy childlike faith we lean
732,and to the tender heart and brave
733,"a wagon, overarched with evergreen,"
734,"upon her sister dear,"
735,"""before god, sir, i vow, when you are gone,"
736,"“acca, ’tis past! he swims before my sight,"
737,"east, west, north, south, are his domain."
738,"with the earls of the goths about her: so queenly did she seem,"
739,with spring’s delicious trouble in the ground
740,"they are fastened well, nom d'un chien!"
741,"the fraud of priests, the wrong of law,"
742,"""a quick consumption, that no art could cure!"
743,around thy place of slumber glowing!
744,"love works at the centre,"
745,obliterate the etchings
746,of nature's gold and mints it.
747,"shall dwindle, shall blend,"
748,and leaves the world to darkness and to me.
749,"a story of the days of old,"
750,"he bent and kissed her head, warm, shining, soft,"
751,"and she passed out between the blessed things,"
752,"""how to observe"" is what thy pages show,"
753,"that satraps would have shivered at his frown,"
754,"dey kin talk from hyeah to yandah,"
755,"by his sacrifice, foreknown"
756,"first, he mused what the animal substance or herb is"
757,"harsh, featureless, and rude, barrenly perish:"
758,three banks in three degrees the sailors bore;
759,"and that unrest which men miscall delight,"
760,and friendship's tenderest sympathy
761,her eye proclaims her of the briton line:
762,"in a dell mid lawny hills,"
763,"that thou should'st smile again?""--the evening came,"
764,"eliab this occasion seized,"
765,"and changing like a poet's rhymes,"
766,my breast was calm as summer's sea
767,oblivion's blankness claims
768,"when your rights was our wrongs, john,"
769,godminster chimes
770,nothin' to du but watch my shadder's trace
771,mere raft of stone;
772,"a spirit, neither here nor there,"
773,"tormented by the quickened blood of roots,"
774,"and then, to go to sleep;"
775,"with passionate longing burning,"
776,"where the cloudy hangings waver and the flickering shadows fall,"
777,were i once more the lover
778,"even while we gaze, though it awhile avail"
779,"well, i guess i looked at that hand"
780,"a man may see the moon so, in a pond,"
781,"ah, soul of mine! so brave and wise"
782,"the oriole in the elm; the noisy jay,"
783,"left the torn human heart, their food and dwelling-place."
784,"once upon a time, i lay"
785,still is my heart and vacant is my breath--
786,with sharp turns weaving
787,"flew to and fro,"
788,here on the cliff beneath the oleanders
789,his pass to the majestical far shore.
790,"and virtue's bright image, enstamped on the mind,"
791,"then he said ""amarant""; and the damsel drew"
792,inexorable death; and claims his right.
793,"trailing, wrecked, it came to land,"
794,...    and call to him.
795,how seen? how known? as through your glass
796,"(so thick they crowd), 'tis hardly seen."
797,"we were content to show,"
798,"young childhood, with a moisten'd eye,"
799,"dead among the shouting people,"
800,"on their tracks his eyes were fastened,"
801,"darling, the merciful father"
802,bird that from the nadir's floor
